Level	Date and Time	Source	Event ID	Task Category
Error	2020/07/02 03:14:55	Office 2016 Licensing Service	0	None	"The description for Event ID 0 from source Office 2016 Licensing Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Subscription licensing service failed: -2143485932
"
Error	2020/07/02 03:14:55	Microsoft Office 16	2011	None	Office Subscription licensing exception: Error Code: 0x803D0014; CorrelationId: {603D02FE-1DFB-461F-B641-CDBA603F18F1}
Error	2020/07/02 03:14:53	Microsoft Office 16	2011	None	Office Subscription licensing exception: Error Code: 0x803D0014; CorrelationId: {603D02FE-1DFB-461F-B641-CDBA603F18F1}
Error	2020/07/01 16:44:03	NetBT	4321	None	"The name ""DESKTOP-ONOT1F3:0"" could not be registered on the interface with IP address 137.215.238.147. The computer with the IP address 169.254.234.209 did not allow the name to be claimed by this computer."
Error	2020/07/01 16:44:03	NetBT	4321	None	"The name ""DESKTOP-ONOT1F3:20"" could not be registered on the interface with IP address 137.215.238.147. The computer with the IP address 169.254.234.209 did not allow the name to be claimed by this computer."
Error	2020/07/01 16:44:03	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{1F27A0C2-1697-43C3-A2CB-597C81048B4F} because another computer on the network has the same name.  The server could not start.
Error	2020/07/01 16:36:33	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 16:32:09	NetBT	4321	None	"The name ""DESKTOP-ONOT1F3:0"" could not be registered on the interface with IP address 137.215.238.147. The computer with the IP address 169.254.234.209 did not allow the name to be claimed by this computer."
Error	2020/07/01 16:32:09	NetBT	4321	None	"The name ""DESKTOP-ONOT1F3:20"" could not be registered on the interface with IP address 137.215.238.147. The computer with the IP address 169.254.234.209 did not allow the name to be claimed by this computer."
Error	2020/07/01 16:32:09	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{1F27A0C2-1697-43C3-A2CB-597C81048B4F} because another computer on the network has the same name.  The server could not start.
Error	2020/07/01 16:30:12	Application Hang	1002	(101)	"The program pythonw.exe version 3.7.6150.1013 stopped interacting with Windows and was closed. To see if more information about the problem is available, check the problem history in the Security and Maintenance control panel.
 Process ID: 3088
 Start Time: 01d64fb3fc2356b0
 Termination Time: 18
 Application Path: C:\anaconda\pythonw.exe
 Report Id: a7b1878c-20c4-405d-a05f-3b7da87f2b19
 Faulting package full name: 
 Faulting package-relative application ID: 
 Hang type: Unknown
"
Error	2020/07/01 16:22:32	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 16:22:02	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 16:21:34	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 16:21:30	Microsoft-Windows-CertificateServicesClient-CertEnroll	86	None	"SCEP Certificate enrollment initialization for WORKGROUP\DESKTOP-ONOT1F3$ via https://IFX-KeyId-32c6e576663fee80d64cdd7b18e5603863b3bc8a.microsoftaik.azure.net/templates/Aik/scep failed:

GetCACaps

Method: GET(0ms)
Stage: GetCACaps
The server name or address could not be resolved 0x80072ee7 (WinHttp: 12007 ERROR_WINHTTP_NAME_NOT_RESOLVED)"
Error	2020/07/01 16:21:28	Microsoft-Windows-CertificateServicesClient-CertEnroll	86	None	"SCEP Certificate enrollment initialization for WORKGROUP\DESKTOP-ONOT1F3$ via https://IFX-KeyId-32c6e576663fee80d64cdd7b18e5603863b3bc8a.microsoftaik.azure.net/templates/Aik/scep failed:

GetCACaps

Method: GET(313ms)
Stage: GetCACaps
The server name or address could not be resolved 0x80072ee7 (WinHttp: 12007 ERROR_WINHTTP_NAME_NOT_RESOLVED)"
Error	2020/07/01 16:21:19	Service Control Manager	7000	None	"The ImControllerService service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 16:21:13	VBoxNetLwf	12	None	The driver detected an internal driver error on \Device\VBoxNetLwf.
Error	2020/07/01 16:20:34	Application Hang	1002	(101)	"The program pythonw.exe version 3.7.6150.1013 stopped interacting with Windows and was closed. To see if more information about the problem is available, check the problem history in the Security and Maintenance control panel.
 Process ID: 2378
 Start Time: 01d64fb2a73c1069
 Termination Time: 5
 Application Path: C:\anaconda\pythonw.exe
 Report Id: 14b5e83e-7245-4ed6-8fb8-49a878f218e9
 Faulting package full name: 
 Faulting package-relative application ID: 
 Hang type: Unknown
"
Error	2020/07/01 16:14:20	Application Hang	1002	(101)	"The program pythonw.exe version 3.7.6150.1013 stopped interacting with Windows and was closed. To see if more information about the problem is available, check the problem history in the Security and Maintenance control panel.
 Process ID: 277c
 Start Time: 01d64fb122a6bb55
 Termination Time: 23
 Application Path: C:\anaconda\pythonw.exe
 Report Id: 46b8f70e-6ad7-482a-aaf7-f2560720171e
 Faulting package full name: 
 Faulting package-relative application ID: 
 Hang type: Unknown
"
Error	2020/07/01 16:08:27	Application Hang	1002	(101)	"The program pythonw.exe version 3.7.6150.1013 stopped interacting with Windows and was closed. To see if more information about the problem is available, check the problem history in the Security and Maintenance control panel.
 Process ID: 2a7c
 Start Time: 01d64fb08c2ab1eb
 Termination Time: 15
 Application Path: C:\anaconda\pythonw.exe
 Report Id: 480088f9-f88d-4e70-bfd5-1e38ef113dad
 Faulting package full name: 
 Faulting package-relative application ID: 
 Hang type: Unknown
"
Error	2020/07/01 15:58:43	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 15:44:43	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 15:44:13	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 15:43:57	Microsoft-Windows-CertificateServicesClient-CertEnroll	86	None	"SCEP Certificate enrollment initialization for WORKGROUP\DESKTOP-ONOT1F3$ via https://IFX-KeyId-32c6e576663fee80d64cdd7b18e5603863b3bc8a.microsoftaik.azure.net/templates/Aik/scep failed:

GetCACaps

Method: GET(16ms)
Stage: GetCACaps
The server name or address could not be resolved 0x80072ee7 (WinHttp: 12007 ERROR_WINHTTP_NAME_NOT_RESOLVED)"
Error	2020/07/01 15:43:55	Microsoft-Windows-CertificateServicesClient-CertEnroll	86	None	"SCEP Certificate enrollment initialization for WORKGROUP\DESKTOP-ONOT1F3$ via https://IFX-KeyId-32c6e576663fee80d64cdd7b18e5603863b3bc8a.microsoftaik.azure.net/templates/Aik/scep failed:

GetCACaps

Method: GET(15ms)
Stage: GetCACaps
The server name or address could not be resolved 0x80072ee7 (WinHttp: 12007 ERROR_WINHTTP_NAME_NOT_RESOLVED)"
Error	2020/07/01 15:43:50	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 15:43:37	Service Control Manager	7000	None	"The ImControllerService service failed to start due to the following error: 
The system cannot find the file specified."
